,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC10059426,AC10059426,990032200830603338,,,"Ferriol, Charles <<de>> ; http://d-nb.info/gnd/123458595",Recueil de cent estampes représentant différentes nations du Levant ; 1714-1715,,"Wahre Abbildung des Türkischen Hofes $ nach denen Gemälden welche Herr von Ferriol Kön. Franz. Ambassateur in Constantinopel, durch den geschickten Niederländischen Maler van Mour nach der Natur hat malen und in vielen Kupferplatten hat stechen lassen $ Aus dem Franz. übersezt",,,Nürnberg,Nürnberg ; http://d-nb.info/gnd/4042742-0,,bey Christ. Weigel und Adam Gottlieb Schneider,Adam Gottlieb Schneider-Weigelsche Kunst- und Buchhandlung ; http://d-nb.info/gnd/5311115-1,,1788,1788,"12 ungezählte Seiten, 136 Seiten, 77 Blätter Bildtafeln, 3 ungezählte gefaltete Blätter Bildtafeln",80 Illustrationen,80,,4°,Die Illustrationen sind 77 kolorierte Kupferstich-Illustrationen und 3 Kupferstich-Illustrationen (gestochen von Christoph Weigel),"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0350 ; Bibliografie Reiseliteratur Eutin. - Zweite deutsche Ausgabe mit geändertem Text","Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Nürnberg, bey Christ. Weigel und Adam Gottlieb Schneider, gegen der Kaiserl. Reichs-Post über, 1788.",,ger,fre,Aus dem Französischen übersetzt $ In Fraktur,,,,,"Le Hay, Jacques ; http://d-nb.info/gnd/1015384447 $ Vanmour, Jean-Baptiste ; http://d-nb.info/gnd/128481404","Vanmour, Jean-Baptiste ; http://d-nb.info/gnd/128481404","Weigel, Christoph ; http://d-nb.info/gnd/118630067",,,,,,Türkei ; Hof,TravelogueD18 Europa Asien $ TravelogueD18 Orient,,261629-B MAG,ZFID,
AC10280338,AC10280338,990034457500603338,http://data.onb.ac.at/ABO/%2BZ255406907,Z255406907,"Fourmont, Claude L. ; http://d-nb.info/gnd/172889464",Description historique et géographique des plaines d'Heliopolis et de Memphis,,"Historische und Geographische Beschreibung der Gegend um Heliopolis und Memphis $ Mit Kupfern $ Aus dem Französischen des Jüngern Herrn Fourmont, Sr.Königl. Majestät in Frankreich, Dollmetschers der Morgenländischen Sprachen, übersetzt, und mit einigen Anmerkungen, auch vollständigen Register versehen, von Georg Friederich Casimir Schad",,,Nürnberg und Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7 $ Nürnberg ; http://d-nb.info/gnd/4042742-0,,,Bauer & Raspe ; http://d-nb.info/gnd/1073074080,,1782,1782,"48 ungezählte Seiten, 124 Seiten, 28 ungezählte Seiten, 4 ungezählte gefaltete Blätter","3 Illustrationen, 1 Karte",3,1,8°,"Die Illustrationen sind 1 Kupferstich-Karte, 2 Kupferstich-Pläne und 1 Kupferstich-Illustration. - Kupferstich-Vignetten, Holzschnitt-Vignetten und Zierleisten ; Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Stuck, I, 529 ; Engelmann, 168. - Werktitel nach VIAF. - Verleger ermittelt nach Bibliografie Reiseliteratur Eutin","Ungezählte Seite 3-8: Widmungsvorrede des Herausgebers und Übersetzers Schad an Karl Theodor, Pfalzgraf von Rhein.  Ungezählte Seite 9-12: Vorrede an die Leser",,ger,fre,Aus dem Französischen übersetzt $ Aus dem Französischen übersetzt $ In Fraktur,,,"Schad, Georg Friedrich Casimir ; http://d-nb.info/gnd/117092711","Schad, Georg Friedrich Casimir ; http://d-nb.info/gnd/117092711",,,,"Schad, Georg Friedrich Casimir ; http://d-nb.info/gnd/117092711",Karl Theodor ; http://d-nb.info/gnd/118560190 $ Karl Theodor ; http://d-nb.info/gnd/118560190,Reisebericht,,,Forschungsreise ; Afrika ; Ägypten ; Geschichte 1747-1750 ; Ägypten ; Unter- ; Geografie ; Osmanisches Reich,TravelogueD18 Afrika $ TravelogueD18 Orient,,244708-B MAG,ZKAR,
AC15532482,AC15532482,9958578465303338,http://data.onb.ac.at/ABO/%2BZ159253401,Z159253401,"Hacquet, Balthasar ; http://d-nb.info/gnd/118699970","Oryctographia carniolica, oder physikalische Erdbeschreibung des Herzogthums Krain, Istrien, und zum Theil der benachbarten Länder",,"Oryctographia Carniolica, oder Physikalische Erdbeschreibung des Herzogthums Krain, Istrien, und zum Theil der benachbarten Länder $ [Balthasar Hacquet]",Vierter Theil,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,Leipzig ; http://d-nb.info/gnd/4035206-7,bey Johann Gottlob Immanuel Breitkopf,"Breitkopf ; http://d-nb.info/gnd/16118087-5 $ Breitkopf, Johann Gottlob Immanuel ; http://d-nb.info/gnd/118809873","Breitkopf ; http://d-nb.info/gnd/16118087-5 $ Breitkopf, Johann Gottlob Immanuel ; http://d-nb.info/gnd/118809873",1789,1789,"XVI, 91 Seiten, 1 ungezähltes gefaltetes Blatt Karte","5 Illustrationen, 1 Karte",5,1,4°,"Die Illustrationen sind 5 gezählte illustrierende Kupferstich-Vignetten, 1 Kupferstich-Karte (Continuatio Mappae Litho Hydrographica Nationis Slavicae Ad occidentem Solem sitae, gestochen von J. Adam). - Zierleisten ; Initialen ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin (Andere Ausgabe) ; Deutsche Biographie. - Anonym erschienen,"Seite [III]-[IV]: Widmung des Verfassers an König George III., von Großbritannien",,ger,,In Fraktur,,,,,,,"Adam, Jakob ; http://d-nb.info/gnd/122075560","Hacquet, Balthasar ; http://d-nb.info/gnd/118699970",Georg ; http://d-nb.info/gnd/118716913,,,,Istrien ; Physische Geografie ; Krain ; Physische Geografie,TravelogueD18 Europa $ TravelogueD18 Orient,,252208-C.4 MAG $ *46.F.7.(Vol.1.2) PRUNK $ *46.F.7.(Vol.3.4) PRUNK,ZFID $ ZALT $ ZALT,
AC11077200,AC11077200,990043989020603338,http://data.onb.ac.at/ABO/%2BZ156041307,Z156041307,"Hanway, Jonas ; http://d-nb.info/gnd/118839462","<<An>> Historical Account of the British Trade over the Caspian Sea, With a Journal of Travels From London Through Russia Inta Persia ; 1753 ; http://viaf.org/viaf/312525393",,"<<Herrn Jonas Hanway>> zuverläßige Beschreibung seiner Reisen, von London durch Rußland und Persien; und wieder zurück durch Rußland, Deutschland und Holland, in den Jahren von 1742 bis 1750: $ worinnen die Großbritannische Handlung über die Caspische See, und überhaupt das Handlungswesen von Rußland, Persien, von der Tartarey, Türkey, von Armenien, China etc. mit den benachbarten und entfernten Nationen umständlich beschrieben; Wie auch das Merkwürdigste von den Reichen, Provinzen und Städten durch welche der Verfasser gereiset ist, und von der Lebensart, Landesbeschaffenheit, den Sitten, der Religion und den Gemüthsneigungen der Perser, Kosacken, Kalmucken, und anderer tartarischen Völker, aus langer Erfahrung ausführlich erzählet wird. Nebst einer unparteyischen Historie des großen Eroberers Nadir Kuli oder Kuli Chans, und aller Staatsveränderungen und Rebellionen, welche in diesem Jahrhunderte in Persien vorgefallen sind. Aus dem Englischen übersetzt. Mit vielen Landcharten nach den neuesten geographischen Beobachtungen und andern Kupfern",[1],,Hamburg und Leipzig,Hamburg ; http://d-nb.info/gnd/4023118-5 $ Leipzig ; http://d-nb.info/gnd/4035206-7,Hamburg ; http://d-nb.info/gnd/4023118-5 $ Leipzig ; http://d-nb.info/gnd/4035206-7,bey Georg Christian Grund und Adam Heinrich Holle,"Grund, Georg Christian ; http://d-nb.info/gnd/143890182 $ Holle, Adam Heinrich ; http://d-nb.info/gnd/1037496191","Grund, Georg Christian ; http://d-nb.info/gnd/143890182 $ Holle, Adam Heinrich ; http://d-nb.info/gnd/1037496191",1754,1754,"12 ungezählte Seiten, 480 Seiten, 16 ungezählte Seiten, 6 gefaltete Blätter","13 Illustrationen, 6 Karten",13,6,4°,"Die Illustrationen sind 1 gestochenes Frontispiz (gestochen und signiert von C. Fritzsch, Hamburg 1754), 6 gestochene Karten, 3 Kupferstichillustrationen (gestochen und signiert von C. Fritzsch und F. N. Rolffsen), 9 illustrierende Kupferstich-Vignetten (gestochen und signiert von C. Fritzsch). - Holzschnitt-Vignetten und Initialen im Text","Bibliografischer Nachweis: Griep, Reiseliteratur und Geographica, 0562 ; Bibliografie Reiseliteratur Eutin ; Stuck I, 637. - Werktitel nach Bibliografie Reiseliteratur Eutin","Ungezählte Seite 3-4: Druckprivileg für Kaiser Franz I., gezeichnet von Matthias Wilhelm von Haan. - Ungezählte Seite 5-12: Vorbericht des Verfassers",,ger,eng,Aus dem Englischen übersetzt $ In Fraktur,,,,,,,"Martini, David Johann ; http://d-nb.info/gnd/134113012 $ Rolffsen, Franz Nikolaus ; http://d-nb.info/gnd/130046809 $ Fritsch, Christian ; http://d-nb.info/gnd/130126004",,,Reisebericht,,,Reise ; Geschichte 1742-1750 ; Russland ; Iran ; Orient ; Handel,TravelogueD18 Europa Asien $ TravelogueD18 Orient,,*48.F.28.29.(Vol.1) PRUNK,ZALT,
AC09937919,AC09937919,990030961250603338,http://data.onb.ac.at/ABO/%2BZ156314701,Z156314701,"Hasselquist, Fredrik ; http://d-nb.info/gnd/117503355","Iter palaestinum eller Resa til Heliga Landet, förrättad ifrån år 1749 till 1752 ; 1757 ; http://viaf.org/viaf/259145067329266630596",,"<<D. Friedrich Hasselquists Der Akademien der Wissenschaften zu Stockholm und Upsala Mitglieds,>> Reise nach Palästina in den Jahren 1749 bis 1752 $ Auf Befehl Ihro Majestät der Königinn von Schweden herausgegeben von Carl Linnäus. Aus dem Schwedischen",,,Rostock,Rostock ; http://d-nb.info/gnd/4050610-1,Leipzig ; http://d-nb.info/gnd/4035206-7,gedruckt bey Joh. Gottl. Immanuel Breitkopf $ verlegts Johann Christian Koppe,"Koppe, Johann Christian ; http://d-nb.info/gnd/1019285591","Breitkopf ; http://d-nb.info/gnd/16118087-5 $ Breitkopf, Johann Gottlob Immanuel ; http://d-nb.info/gnd/118809873",1761 $ 1762,1762,"18 ungezählte Seiten, 606 Seiten",,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Vignetten im Text ; Initialen,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 152 ; Stuck I, 643 ; Tobler, Bibliographia geographica Palaestinae, S. 130 ; Chatzipanagioti-Sangmeister, 0403. - Der erste Teil enthält einen Reisebericht in Form von 14 Briefen, Datum bis 11.1751","Ungezählte Seite 5-8: Widmungsvorrede von Thomas Heinrich Gadebusch an die Schwedische Königin Luisa Ulrica, Datum Greifswald 15.08.1761. - Ungezählte Seite 9-18: Vorrede des Herausgebers Carl von Linné",,ger,swe,Aus dem Schwedischen übersetzt $ In Fraktur,,,"Linné, Carl <<von>> ; http://d-nb.info/gnd/118573349","Gadebusch, Thomas Heinrich ; http://d-nb.info/gnd/100136605","Gadebusch, Thomas Heinrich ; http://d-nb.info/gnd/100136605",,,"Gadebusch, Thomas Heinrich ; http://d-nb.info/gnd/100136605",,Reisebericht,,,Naher Osten ; Palästina ; Jerusalem ; Zypern ; Reise ; Geschichte 1749-1751 ; Orient ; Osmanisches Reich,TravelogueD18 Europa Asien $ TravelogueD18 Orient,,48.X.2 PRUNK,ZALT,
AC14486205,AC14486205,990057674290603338,http://data.onb.ac.at/ABO/%2BZ257372408,Z257372408,"Jenne, Franz ; http://d-nb.info/gnd/134005740",Jenne's Reisen,,Jenne's Reisen,"Erster Theil ; von St. Petersburg bis Malta und von der Donaumündung bis in den Quadalquivir, durch einen Theil von Asien, und einige Städte in Afrika",,Frankfurt und Leipzig,Frankfurt am Main ; http://d-nb.info/gnd/4018118-2 $ Leipzig ; http://d-nb.info/gnd/4035206-7,,,,,1790,1790,"12 ungezählte Seiten, 544 Seiten, 17 ungezählte Seiten",,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Vignetten,"Bibliografischer Nachweis: VD18 90620054 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0476",Ungezählte Seite 3-8: Vorrede,,ger,,In Fraktur,VD18 90620054,,,,,,,,,Reisebericht,,,Russland ; Malta ; Schwarzmeer-Gebiet ; Südosteuropa ; Türkei ; Frankreich ; Spanien ; Griechenland ; Reise ; Geschichte 1764-,TravelogueD18 Europa Asien Afrika $ TravelogueD18 Orient,,739524-A.1 MAG,ZKAR,VD18 90620054
AC14486212,AC14486212,990057674310603338,http://data.onb.ac.at/ABO/%2BZ257372500,Z257372500,"Jenne, Franz ; http://d-nb.info/gnd/134005740",Jenne's Reisen,,Jenne's Reisen,"Zweiter Theil ; Nach dem Archipelagus, der europäischen Türkey, Moldau, Walachei, Siebenbürgen und Slavonien",,Frankfurt und Leipzig,Frankfurt am Main ; http://d-nb.info/gnd/4018118-2 $ Leipzig ; http://d-nb.info/gnd/4035206-7,,,,,1790,1790,"4 ungezählte Seiten, 506 Seiten, 8 ungezählte Seiten",,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Vignetten,"Bibliografischer Nachweis: VD18 90620062 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0476",,,ger,,In Fraktur,VD18 90620062,,,,,,,,,Reisebericht,,,Griechenland ; Türkei ; Südosteuropa ; Ungarn ; Österreich ; Reise ; Geschichte 1764- ; Osmanisches Reich,TravelogueD18 Europa $ TravelogueD18 Orient,,739524-A.2 MAG,ZKAR,VD18 90620062
AC10016425,AC10016425,990031762830603338,http://data.onb.ac.at/ABO/%2BZ159589609,Z159589609,"Kleemann, Nikolaus Ernst ; http://d-nb.info/gnd/1016330367",Reisen von Wien über Belgrad bis Kilianowa,,"<<Nikolaus Ernst Kleemanns>> Reisen von Wien über Belgrad bis Kilianowa, durch die Butschiak=Tartarey über Cavschan, Bender, durch die Nogen=Tartarey in die Crimm, dann von Kassa nach Konstantinopel, nach Smirna und durch den Archipelagum nach Triest und Wien, in den Jahren 1768, 1769, und 1770 $ Nebst einem Anhange von den besondern Merkwürdigkeiten der Crimmischen Tartarey. Mit vielen Kupfern",,Zweyte und vermehrte Auflage,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,Verlegts Johann Paul Krauß,"Kraußische Buchhandlung ; http://d-nb.info/gnd/10062061-9 $ Krauß, Johann Paul ; http://d-nb.info/gnd/103749556X",,1773,1773,"8 ungezählte Seiten, 280 Seiten, 9 ungezählte gefaltete Blätter Bildtafeln",9 Illustrationen,9,,8°,Die Illustrationen umfassen 9 Kupferstichillustrationen (teilweise signiert von I. C. Berndt) - Holzschnitt-Vignetten ; Tabellen ; Fußnoten,"Bibliografischer Nachweis: VD18 10541721 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0488 ; Stuck I, 753 ; Weber I, 561",Ungezählte Seite 3-6: Vorrede,,ger,,In Fraktur,VD18 10541721,,,,,,"Berndt, Johann Christoph ; http://d-nb.info/gnd/129100609",,,Briefsammlung $ Reisebericht,,,Krim ; Reise ; Geschichte 1768-1770,TravelogueD18 Europa Asien $ TravelogueD18 Orient,,48.Z.58 PRUNK $ MF 7205 MIK,ZALT $ ZNEU,VD18 10541721
AC10065640,AC10065640,990032264450603338,http://data.onb.ac.at/ABO/%2BZ12492830X,Z12492830X,"Lesseps, Jean-Baptiste-Barthélemy <<de>> ; http://d-nb.info/gnd/117669903",Journal historique du voyage de M. de Lesseps ; 1790 ; http://viaf.org/viaf/183632090,Magazin von merkwürdigen neuen Reisebeschreibungen ; Vierter Band,"<<Herrn von Lesseps Gefährten des Grafen de la Perouse>> Reise durch Kamtschatka und Sibirien nach Frankreich $ Aus dem Französischen übersetzt $ Mit Anmerkungen von Johann Reinhold Forster, Professor der Naturgeschichte und Mineralogie in Halle, Mitglied der K. Preussischen Akademie der Wissenschaften etc.",,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Vossischen Buchhandlung,Christian Friedrich Voss und Sohn ; http://d-nb.info/gnd/6146570-7,,1791,1791,"XXVIII, 544 Seiten, 3 ungezählte gefaltete Blätter",2 Karten,,2,8°,Die Illustrationen sind 2 Kupferstich-Karten. - Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0343 (Ferrières-Sauveboeuf). - Gemäß Chatzipanagioti-Sangmeister ist die Übersetzung nicht ident mit der Ausgabe Leipzig, Crusius, 1790. - Der Titel des Hauptwerkes ist der Seite 1 entnommen. - Zusammenstellung von zwei Expressionen mehrere Akteure","Seite [V]-[VI]: Widmungsvorrede des Herausgebers Johann Reinhold Forster an den Kronprinzen Friedrich Wilhelm von Preussen, Datum 08.02.1791. - S. [VII]-XX: Vorrede des Herausgebers Johann Reinhold Forster, Datum 10.02.1791",,ger,fre,Aus dem Französischen übersetzt $ In Fraktur,,"Ferrières-Sauveboeuf, Louis François <<de>> ; http://d-nb.info/gnd/119455625","Forster, Johann Reinhold ; http://d-nb.info/gnd/118534432",,,,,"Forster, Johann Reinhold ; http://d-nb.info/gnd/118534432",Friedrich Wilhelm ; http://d-nb.info/gnd/118535986,Reisebericht,"Reisen in der Türkei, Persien und Arabien während der Jahre 1782 bis 1789","Ferrières-Sauveboeuf, Louis François <<de>> : Mémoires historiques, politiques et géographiques des voyages du comte de Ferrières-Sauveboeuf, faits en Turquie, en Perse et en Arabie depuis 1782 jusqu'en 1789",Sibirien ; Halbinsel Kamtschatka ; Forschungsreise ; Geschichte 1787-1788 ; Orient ; Osmanisches Reich ; Iran ; Reise ; Geschichte 1782-1789,TravelogueD18 Asien Europa $ TravelogueD18 Orient,TravelogueD18 Zusammenstellung,264194-B.4 MAG $ 393869-B MAG,ZFID $ ZKAR,
AC03116051,AC03116051,990004458760603338,"http://data.onb.ac.at/ABO/%2BZ42125808;
http://data.onb.ac.at/ABO/%2BZ171040908","Z42125808;
Z171040908","Lesseps, Jean-Baptiste-Barthélemy <<de>> ; http://d-nb.info/gnd/117669903",Journal historique du voyage de M. de Lesseps ; 1790 ; http://viaf.org/viaf/183632090,Magazin von merkwürdigen neuen Reisebeschreibungen ; Siebenter Band,"<<Herrn von Lesseps, Gefährten des Grafen de la Peyrouse>> Reise durch Kamtschatka und Sibirien nach Frankreich $ Aus dem Französischen übersetzt",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"XXV, 524 Seiten, 4 gefaltete ungezählte Blätter","2 Karten, 1 Notenbeispiele",,2,8°,"Die Illustrationen sind 2 Kupferstich-Karten und 1 Notenbeispiel. - Tabellen, Fußnoten","Bibliografischer Nachweis: Fromm 15123-15125 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0344. - Der Haupttitel ist der Seite 1 entnommen","Seite III-XXV: Vorwort, Datum 10.02.1791",,ger,fre,Aus dem Französischen übersetzt $ In Fraktur,,,"Forster, Johann Reinhold ; http://d-nb.info/gnd/118534432","Sander, Johann Daniel ; http://d-nb.info/gnd/11892737X",,,,,,Reisebericht,,,Forschungsreise ; Sibirien ; Halbinsel Kamtschatka ; Geschichte 1787-1788 ; Reise ; Orient ; Türkei ; Iran ; Geschichte 1782-1789,TravelogueD18 Asien Europa $ TravelogueD18 Orient,,"303755-A.7 MAG $ 276879-A.7 MAG $ UNASSIGNED $ 276879-A,1-20 MAG",ZALT $ ZFID $ ZALT $ ZFID,
AC02946347,AC02946347,990004095820603338,http://data.onb.ac.at/ABO/%2BZ35026209,Z35026209,"Lucas, Paul ; http://d-nb.info/gnd/117665665",Voyage du Sieur Paul Lucas au Levant ; 1704 ; http://viaf.org/viaf/739151475055000490008,,"Reise nach der Levante, $ Darinn unter andern Merckwürdigkeiten/ auch der Allerneueste Zustand von Ober=Egypten/ Nemlich von Cairo an/ biß zu den berühmten Wasser=Fällen des Nil-Flusses getreulich angezeiget ; Anbey eine Pünctliche Carte dieses Strohmes/ dergleichen niemals gesehen worden/ in Kupfer gestochen $ Auß dem Frantzösischen des Sieur Paul Lucas, ins Hochteutsche übergesetzet von M. V**",,,Hamburg,Hamburg ; http://d-nb.info/gnd/4023118-5,Hamburg ; http://d-nb.info/gnd/4023118-5,Gedruckt und verlegt durch sehl. Thomas von Wierings Erben,Thomas von Wiering Erben ; http://d-nb.info/gnd/6146586-0,Thomas von Wiering Erben ; http://d-nb.info/gnd/6146586-0,1707,1707,"16 ungezählte Seiten, 165 Seiten, 1 ungezählte Seite, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,8°,Die Illustration ist 1 Kupferstich-Karte. - Holzschnitt-Vignetten und Initialen im Text ; Titelblatt in Rot- und Schwarzdruck,"Bibliograph. Nachweis: Fromm 15622 ; VD18 90689208 ; Bibliografie Reiseliteratur Eutin ; Stuck I, 847 ; Weber, Voyages and Travels (1953), 456 ; Kainbacher, Erforschung Afrikas, S. 284 ; UBW Heidelberg (urn:nbn:de:bsz:16-diglit-46137). - Werktitel nach VD18 und Bibliografie Reiseliteratur Eutin","Vorrede an den Leser, Datum Hamburg 1707. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Hamburg, Gedruckt und verlegt durch sehl. Thomas von Wierings Erben/ bey der Börse/ im gelben A. B. S. Ao. 1707. sind auch zu Franckf. und Leipzig bey Zacharias Herteln zu bekom[m]en",,ger,fre,Aus dem Französischen übersetzt,VD18 90689208,,,,,,,,,Reisebericht,,,Levante ; Reise ; Geschichte 1699-1703 ; Oberägypten ; Reise ; Geschichte 1699-1703 ; Osmanisches Reich,TravelogueD18 Afrika $ TravelogueD18 Orient,,361951-A MAG,ZKAR,VD18 90689208
AC07531416,AC07531416,990016084650603338,http://data.onb.ac.at/ABO/%2BZ69804407,Z69804407,"Maundrell, Henry ; http://d-nb.info/gnd/132232928",Journey from Aleppo to Jerusalem ; 1699 ; http://viaf.org/viaf/308565966,,"<<M. Henrich Maundrell, Prediger der Engl. Comp. zu Aleppo,>> Reise=Beschreibung nach dem Gelobten Lande, $ Darinnen Die jetzige Beschaffenheit und der Allerneueste Zustand Des Heiligen Landes, Aller darinnen Sehens=würdigen Städte und Oerter, so in Heiliger Schrifft aufgezeichnet sind; Nach allen Umständen beschrieben, auch das merckwürdigste in Kupffer vorgestellet wird; Vermehret Mit einer Zweyten Reise Von Venedig auf Jerusalem, Cairo in Aegypten und Constantinopel etc.",,,Hamburg,Hamburg ; http://d-nb.info/gnd/4023118-5,,bey Christian Wilhelm Brandt,"Brandt, Christian Wilhelm ; http://d-nb.info/gnd/1037501020",,1737,1737,"6 ungezählte Seiten, 206 Seiten, 5 ungezählte Blätter Bildtafeln, 5 ungezählte gefaltete Blätter, 96 Seiten",11 Illustrationen,11,,8°,"Die Illustrationen sind 1 illustrierender Kupfertitel als Frontispiz (gestochen von J. G. Mentzel), 8 Kupferstichillustrationen, 1 Kupferstich-Plan, 1 Holzschnitt-Illustration. - Holzschnitt-Vignetten und Zierleisten im Text","Bibliografischer Nachweis: VD18 11553375 ; Bibliografie Reiseliteratur Eutin ; Tobler, Bibliographia geographica Palaestinae, S. 117 ; Kainbacher, Erforschung Afrikas, S. 298","Ungezählte Seite 3-6: Vorrede des Übersetzers Ludwig Friedrich Vischer, Datum Hamburg 10.03.1737","Signaturformel: )(3, A-M8, N7, Aa-Ff8",ger,eng,Aus dem Englischen übersetzt $ In Fraktur,VD18 1155375,,,"Vischer, Ludwig Friedrich ; http://d-nb.info/gnd/117436518",,,"Mentzel, Johann Georg ; http://d-nb.info/gnd/122297229",,,Reisebericht,,,Palästina ; Geschichte 1697 ; Wallfahrt ; Venedig ; Reise ; Naher Osten ; Geschichte 1697 ; Jerusalem ; Naher Osten ; Ägypten ; Mittelmeerraum ; Konstantinopel ; Reise ; Geschichte 1733 ; Orient ; Osmanisches Reich,TravelogueD18 Asien Europa $ TravelogueD18 Orient,,364237-A MAG $ UNASSIGNED,ZKAR $ ZKAR,VD18 1155375
AC15245845,AC15245845,9958530070703338,"http://data.onb.ac.at/ABO/%2BZ98085407;
http://data.onb.ac.at/ABO/%2BZ164417705;
http://data.onb.ac.at/ABO/%2BZ198356802","Z98085407;
Z164417705;
Z198356802","Maundrell, Henry ; http://d-nb.info/gnd/132232928",Journey from Aleppo to Jerusalem ; 1699 ; http://viaf.org/viaf/308565966,,"<<Eine>> Reise von Aleppo nach Jerusalem $ durch Herrn Heinrich Maundrell, Prediger bei der englischen Faktorei zu Aleppo",,,Troppau,Troppau ; http://d-nb.info/gnd/4061019-6,Troppau ; http://d-nb.info/gnd/4061019-6,"gedruckt bei Joseph Georg Traßler, und im Verlage der Kompagnie","Traßler, Joseph Georg ; http://d-nb.info/gnd/129262358","Traßler, Joseph Georg ; http://d-nb.info/gnd/129262358",1784,1784,460 Seiten,,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Zierleisten im Text,"Bibliografischer Nachweis: Kainbacher, Erforschung Afrikas. - Haupttitel entommen von Seite 5. - Zusammenstellung von 4 Expressionen mehrerer Akteure",,,ger,eng,Aus dem Englischen übersetzt $ In Fraktur,,"Wood, Robert ; http://d-nb.info/gnd/1031092218 $ Pococke, Richard ; http://d-nb.info/gnd/11768757X $ Shaw, Thomas ; http://d-nb.info/gnd/11762537X",,,,,,,,Reisebericht,"Die Reisen des D. Thomas Shaws $ Bericht von einer Reise nach Palmyra, sonst Tedmor in der Wüsten, nebst einer Beschreibung dessen, was sich von dieser berühmten Stadt übrig geblieben ist $ Die Reisen D. Richard Pocockes","Wood, Robert : <<The>> Ruins of Palmyra, otherwise Tedmor, in the desart $ Pococke, Richard : <<A>> description of the East, and some other countries ; http://viaf.org/viaf/23146462712527772442 $ Shaw, Thomas : Travels or observations relating to several parts of Barbary and the Levant ; http://d-nb.info/gnd/1123307199","Maundrell, Henry ; Palästina ; Jerusalem ; Wallfahrt ; Geschichte 1697 ; Orient ; Naher Osten ; Shaw, Thomas ; Nordafrika ; Osmanisches Reich ; Reise ; Geschichte 1720-1733 ; Wood, Robert ; Naher Osten ; Syrien ; Reise ; Geschichte 1750-1753 ; Pococke, Richard ; Naher Osten ; Nordafrika ; Reise ; Geschichte 1737-1742",TravelogueD18 Asien Afrika Europa $ TravelogueD18 Orient,TravelogueD18 Zusammenstellung,251353-A.1 MAG $ 265006-A.1 MAG $ 214905-A UNASSIGNED,ZFID $ ZFID $ ZALT,
